id	bmi	steps	height	weight	income	resting_heart_rate	shoe_size
981	24.7	2217	164.6	66.9	27900	76	41.5
157	24.4	9656	157.0	60.1	31200	70	40.5
681	25.6	13330	168.2	72.4	45100	68	42.5
1760	25.8	6498	156.3	63.0	43500	66	40.5
1051	20.4	13209	151.6	46.9	38600	75	41.0
1174	25.4	10749	171.6	74.8	46100	61	42.5
773	27.6	243	167.5	77.4	25500	71	42.0
1592	27.2	9231	170.7	79.3	56700	73	41.0
732	29.0	10779	160.2	74.4	24100	69	41.5
1085	31.4	10536	168.0	88.6	42300	69	43.0
1734	22.7	14484	162.1	59.6	73000	62	40.0
779	24.4	1032	162.9	64.7	32200	92	41.0
1550	22.8	547	171.3	66.9	45800	79	42.5
985	28.6	243	164.0	76.9	42800	79	41.0
214	28.5	6619	160.5	73.4	22800	74	41.5
1690	20.9	9595	156.1	50.9	31900	70	40.0
1066	18.1	820	167.3	50.7	39000	79	43.5
387	23.7	13360	171.9	70.0	54000	63	42.5
1486	25.0	911	159.9	63.9	39900	75	41.5
1527	28.8	11933	169.5	82.7	19100	65	42.5
728	29.7	12389	158.9	75.0	41400	70	42.5
1228	26.3	12480	169.9	75.9	40600	64	41.0
1147	23.3	12055	165.2	63.6	27700	73	42.5
1717	26.1	2338	166.7	72.5	48000	73	43.5
1671	18.5	12389	160.5	47.7	53800	66	43.0
334	18.5	1943	167.3	51.8	30900	77	43.0
1340	20.9	9413	161.1	54.2	50200	70	41.0
1558	31.3	7045	162.3	82.4	41300	67	41.5
64	31.5	10081	155.1	75.8	42700	75	41.5
1700	20.2	8745	160.0	51.7	38100	76	40.5
1116	22.7	9717	161.6	59.3	54900	72	41.5
1524	20.5	14453	167.0	57.2	57200	66	42.5
811	19.8	9231	168.9	56.5	51200	59	42.5
1128	25.4	4281	161.0	65.8	43000	78	43.0
323	31.6	9868	163.9	84.9	49700	62	41.5
929	31.7	13785	176.0	98.2	51000	65	42.0
1577	28.0	6619	165.9	77.1	23000	70	43.0
564	20.2	10840	161.5	52.7	41800	70	40.5
1725	22.3	9717	154.1	53.0	34400	64	41.0
1124	30.3	6802	159.4	77.0	14800	73	41.0
914	24.4	8198	159.2	61.8	44800	66	41.0
632	15.4	3340	177.9	48.7	73200	67	45.0
603	19.9	12298	159.5	50.6	53000	69	43.0
1052	31.6	13755	165.3	86.3	46900	64	42.5
1222	26.3	1032	167.4	73.7	29200	71	42.0
359	17.2	5192	172.2	51.0	34200	71	42.5
1687	21.6	911	165.1	58.9	39000	84	43.0
662	26.1	2126	161.7	68.2	44700	73	40.5
43	24.1	12540	161.3	62.7	31300	67	40.5
1335	20.8	1731	167.3	58.2	68800	79	43.0
3	30.0	11508	160.6	77.4	17900	72	40.0
1716	21.0	1397	157.8	52.3	33500	71	41.0
1320	25.0	486	161.7	65.4	38000	75	41.0
880	26.1	1883	156.4	63.8	40000	74	41.0
230	28.4	0	177.0	89.0	30000	74	43.0
361	23.0	9686	168.9	65.6	30600	71	41.0
485	25.2	334	175.5	77.6	41000	75	43.5
1068	23.7	820	168.2	67.1	57500	73	42.0
174	17.1	850	174.9	52.3	61700	84	44.5
8	18.5	820	167.4	51.8	34500	76	43.0
1298	20.0	12814	169.7	57.6	33600	62	43.0
365	19.9	10719	151.1	45.4	50900	74	41.0
1519	29.2	12632	159.1	73.9	47400	73	41.5
1280	15.0	30	165.2	40.9	35300	83	42.5
445	21.4	13117	165.4	58.5	43900	62	41.5
1436	20.0	3826	164.5	54.1	57600	73	41.5
11	30.8	6832	167.9	86.8	50800	70	41.5
1278	24.8	12389	168.2	70.2	50300	71	42.0
54	19.0	1184	170.6	55.3	46100	72	42.0
452	23.6	11144	169.3	67.6	37400	62	43.5
433	25.9	6164	172.8	77.3	28300	66	41.5
502	21.1	13300	172.9	63.1	62200	68	41.5
1656	31.4	11204	166.1	86.6	46500	69	41.0
1655	20.9	1549	178.5	66.6	34500	82	42.0
1505	19.3	11690	173.8	58.3	22900	66	43.5
642	22.3	607	159.8	56.9	30600	74	40.5
124	23.0	6377	167.6	64.6	15100	74	41.5
1230	29.5	13907	153.0	69.1	48800	58	40.5
314	29.0	10840	154.1	68.9	53200	69	40.5
512	20.1	8927	161.8	52.6	44500	64	41.5
1368	25.9	6012	159.3	65.7	42800	71	42.0
1709	30.5	11994	161.8	79.8	61600	65	42.0
1405	20.7	14484	167.1	57.8	57000	70	42.0
1743	16.1	1549	173.0	48.2	41200	74	42.5
1313	28.7	14028	172.6	85.5	35900	78	43.5
1014	25.8	6073	167.7	72.6	36700	74	41.5
1343	18.1	121	157.9	45.1	41700	81	41.0
1705	19.9	12419	161.4	51.8	30800	71	42.0
271	30.1	14727	169.1	86.1	38800	72	42.0
1393	29.2	11599	159.6	74.4	34700	68	40.5
739	26.2	12358	156.8	64.4	59000	58	41.0
505	19.5	11356	168.2	55.2	47000	63	41.0
791	26.8	12632	164.7	72.7	63200	63	42.5
1628	17.8	547	163.6	47.6	20200	71	40.5
1736	22.2	12540	172.2	65.8	31100	57	42.5
1731	23.5	13360	172.1	69.6	42500	65	42.0
1458	27.5	12662	176.6	85.8	31900	64	43.0
251	23.1	759	160.8	59.7	43000	85	41.5
611	28.9	13391	167.8	81.4	43100	58	41.5
1645	28.0	364	165.1	76.3	32600	83	41.5
1440	29.8	14666	167.2	83.3	54800	63	42.5
166	29.0	10415	157.6	72.0	17800	75	40.0
535	18.7	2126	155.9	45.4	56800	75	40.5
306	22.0	5648	164.7	59.7	25400	75	41.0
1154	21.8	243	159.5	55.5	43300	72	41.5
998	21.3	9777	171.1	62.4	55500	63	42.5
1186	20.9	14514	155.2	50.3	15100	70	40.0
556	27.6	12753	155.8	67.0	40700	66	41.5
532	26.6	11721	162.3	70.1	45700	70	41.0
1247	26.1	3704	155.0	62.7	12000	80	40.5
740	20.2	13148	175.9	62.5	43700	60	44.0
965	30.2	6528	163.8	81.0	38900	76	42.0
1333	31.6	12783	161.1	82.0	20700	61	43.0
572	31.8	8168	168.0	89.8	37000	76	41.0
310	21.8	14787	170.7	63.5	33600	66	44.5
1532	29.1	11356	166.3	80.5	41700	80	41.5
974	24.7	1943	164.6	66.9	36100	68	41.5
1149	25.8	5648	158.6	64.9	53500	83	41.5
409	31.0	11781	169.1	88.6	37000	68	41.0
80	23.1	8198	174.2	70.1	53100	69	43.5
1661	28.2	9231	163.6	75.5	27400	65	42.0
468	20.2	3006	159.5	51.4	40100	66	41.0
1776	26.0	1913	166.2	71.8	67400	73	42.5
1680	18.8	11538	165.0	51.2	20700	72	41.0
636	22.0	10840	157.1	54.3	16100	67	40.0
281	26.6	789	161.7	69.6	50400	80	42.0
132	22.4	547	176.6	69.9	35800	81	43.0
1401	25.0	10233	156.2	61.0	37200	60	40.5
559	25.4	12874	160.5	65.4	35300	70	41.5
1003	20.4	10962	158.8	51.4	46200	55	41.0
1055	20.3	13755	159.4	51.6	34200	69	41.0
1615	26.6	759	162.1	69.9	51200	75	42.5
729	26.3	6559	167.9	74.1	26900	80	41.5
91	26.9	12449	173.5	81.0	39400	57	43.0
62	25.7	6893	166.3	71.1	45800	67	43.0
551	25.6	6953	160.6	66.0	43400	65	41.0
408	31.5	10385	175.0	96.5	27900	74	44.0
1214	21.1	11842	151.6	48.5	46200	58	40.0
1529	26.2	3401	169.4	75.2	74400	74	42.0
858	20.8	12237	158.3	52.1	21300	66	41.0
1073	21.6	12206	164.7	58.6	22300	70	41.0
1319	18.1	8472	168.7	51.5	47300	76	42.5
20	20.3	13239	154.6	48.5	12000	65	40.0
1504	20.6	9383	165.9	56.7	23000	71	41.5
1045	30.1	11630	166.4	83.3	50200	70	42.0
817	23.4	12449	174.5	71.3	42900	60	44.5
951	31.7	9777	182.6	105.7	56600	72	44.5
1233	17.6	7773	154.9	42.2	42100	82	39.5
612	31.6	7500	174.2	95.9	39600	64	43.5
1518	21.4	14484	164.8	58.1	27500	67	41.0
677	19.8	13300	159.7	50.5	37500	70	41.5
1299	29.0	9170	167.4	81.3	27400	70	43.5
266	17.6	6619	156.5	43.1	33100	66	40.5
648	22.1	61	156.9	54.4	21900	83	40.5
750	23.0	5921	153.7	54.3	22000	68	40.5
280	23.8	14879	168.5	67.6	29300	67	42.5
606	31.8	7925	167.1	88.8	40400	79	42.0
579	22.9	4980	159.7	58.4	29600	75	40.5
1349	20.9	14059	174.9	63.9	53100	58	43.0
602	31.5	10263	160.7	81.3	29900	67	42.0
364	29.6	14545	173.3	88.9	43000	63	42.0
1059	20.9	11964	165.8	57.5	68400	68	42.0
1215	21.1	13300	160.6	54.4	60000	75	41.0
1046	18.5	12601	164.3	49.9	27200	61	41.5
146	28.9	13360	156.9	71.1	30600	71	40.5
451	31.0	14423	166.4	85.8	58200	61	42.0
1471	19.8	10263	165.2	54.0	45900	77	42.0
34	28.6	11235	168.4	81.1	31600	71	42.5
1188	15.7	91	170.7	45.7	35300	78	43.0
874	25.5	10476	165.8	70.1	44700	62	40.5
1077	25.1	8775	155.4	60.6	47100	73	40.0
1484	30.3	14575	171.1	88.7	34100	65	42.5
1362	28.9	13451	165.1	78.8	42800	66	44.0
1315	15.8	182	152.7	36.8	36900	74	41.0
932	26.1	1822	167.0	72.8	42200	81	42.0
558	28.2	334	167.5	79.1	28900	84	42.0
734	17.9	5982	162.7	47.4	27000	69	41.5
1517	25.2	11508	163.7	67.5	60600	78	42.0
1549	29.4	6650	161.1	76.3	35300	71	40.0
384	17.8	5678	167.7	50.1	56600	75	42.0
895	26.5	789	165.9	72.9	23400	75	41.5
317	24.6	11994	159.1	62.3	24400	72	39.5
864	28.8	13603	175.5	88.7	40700	74	42.5
695	24.3	8259	160.7	62.8	46700	79	41.0
643	24.0	10628	147.4	52.1	27100	70	38.5
1288	25.2	11599	161.9	66.1	63800	63	40.5
898	19.9	10415	171.7	58.7	29600	68	43.5
832	21.8	14848	163.7	58.4	52800	70	42.0
857	24.7	1913	154.4	58.9	38700	73	39.0
28	16.4	4615	158.3	41.1	35400	73	42.0
1412	30.0	11569	158.0	74.9	25400	68	39.5
312	20.0	12935	161.3	52.0	52900	66	41.0
995	20.2	11630	163.3	53.9	38100	69	41.5
1342	23.5	11781	168.2	66.5	52700	72	42.5
462	29.6	13937	165.8	81.4	60700	68	40.5
1264	25.4	7257	166.1	70.1	32400	70	41.0
1410	24.8	10051	176.6	77.3	36100	70	43.0
1231	25.3	11751	170.6	73.6	31800	66	42.5
1704	20.5	14484	170.0	59.2	43500	57	43.5
1170	22.5	10992	153.2	52.8	63700	68	40.5
769	22.1	9717	160.1	56.6	18700	66	41.0
1383	31.6	10020	154.6	75.5	41100	61	40.5
261	24.4	11872	160.0	62.5	43100	62	41.5
712	27.9	61	170.2	80.8	17700	74	42.5
531	21.7	12449	162.4	57.2	29900	65	41.5
685	23.3	10688	172.0	68.9	38200	67	43.5
233	26.2	3067	169.5	75.3	48600	73	42.0
425	31.5	12085	165.3	86.1	55100	66	42.5
467	25.0	9929	172.1	74.0	20800	69	42.5
200	17.7	7986	173.9	53.5	53600	69	42.5
1161	16.9	30	168.0	47.7	49200	74	41.0
653	21.7	11812	166.5	60.2	51300	69	40.5
1635	22.9	789	169.1	65.5	40600	81	42.5
422	26.2	881	155.9	63.7	42900	78	39.5
498	19.3	698	164.2	52.0	52500	80	40.0
180	21.6	6255	164.8	58.7	21700	72	41.5
1358	24.4	12571	162.6	64.5	47800	62	42.0
199	22.8	11569	159.9	58.3	36000	59	40.5
57	22.4	5314	171.5	65.9	26700	72	43.5
477	31.6	12874	166.1	87.2	34800	74	41.5
147	24.8	12480	166.7	68.9	38400	62	40.0
1512	17.5	7713	174.3	53.2	23900	75	43.5
1262	22.6	455	163.7	60.6	48500	73	41.0
571	31.7	7743	162.5	83.7	37200	70	40.5
1089	23.6	8259	173.8	71.3	53100	72	41.5
514	25.0	638	155.3	60.3	34000	83	41.5
1708	23.8	14787	165.3	65.0	31900	67	41.5
1095	16.5	789	160.2	42.3	14200	78	40.0
417	24.5	9899	166.9	68.2	38500	72	43.5
1726	28.9	9291	168.7	82.2	27500	65	42.5
211	24.0	14696	169.1	68.6	45800	67	42.0
1009	19.2	12146	171.7	56.6	49900	72	43.5
1534	30.1	6741	163.4	80.4	50600	70	42.0
121	19.9	12753	163.8	53.4	41100	61	43.0
1754	26.1	12389	168.4	74.0	49900	66	43.5
651	18.1	668	170.8	52.8	32000	70	42.5
941	25.3	13603	156.5	62.0	41600	71	42.0
1666	20.5	13907	167.0	57.2	47800	57	41.0
348	22.6	14514	162.4	59.6	52800	61	40.0
391	29.6	13877	165.6	81.2	12900	69	42.0
841	31.5	14150	162.7	83.4	22800	68	41.0
1633	24.0	12510	160.3	61.7	49300	64	41.0
1232	22.7	13178	158.4	57.0	34800	64	41.5
1030	19.4	9200	164.0	52.2	56400	72	41.5
1007	25.1	12389	167.3	70.3	38400	73	41.5
503	30.6	13725	161.1	79.4	52700	69	42.0
19	27.3	9200	172.7	81.4	43000	66	43.0
94	20.4	9595	181.0	66.8	50600	68	44.0
1775	28.3	486	167.7	79.6	34400	80	43.0
1004	23.4	13026	164.7	63.5	32700	64	41.5
968	19.0	4767	159.1	48.1	25800	72	40.0
583	24.6	14575	167.4	68.9	53500	68	41.5
720	27.3	30	174.6	83.2	45900	78	43.0
1032	19.1	12419	177.7	60.3	40500	63	44.0
719	22.9	455	174.1	69.4	34700	74	41.5
629	31.8	8381	170.5	92.4	61400	81	43.5
906	22.1	14909	167.7	62.2	34700	68	42.5
1138	24.2	12571	158.2	60.6	60400	69	41.0
189	22.8	11387	164.4	61.6	43200	65	41.5
23	28.9	13239	163.6	77.4	35200	62	42.0
1559	27.4	334	164.4	74.1	53600	77	42.5
1392	25.9	11387	160.3	66.6	44300	67	42.0
357	26.0	11751	169.9	75.1	36300	66	41.5
126	22.1	30	163.2	58.9	49100	83	40.5
964	31.3	10810	162.7	82.9	50300	63	41.5
1453	19.4	4585	160.3	49.9	46500	69	41.5
975	24.3	13026	166.5	67.4	22900	71	41.5
577	24.1	12237	174.7	73.6	17400	70	43.5
431	19.8	4190	164.9	53.8	43600	77	41.0
414	22.8	5132	166.8	63.4	32700	68	40.0
1010	19.1	850	177.6	60.2	36500	75	44.5
1630	25.0	9990	172.8	74.6	36900	79	42.5
1195	31.1	13178	168.8	88.6	34400	70	41.5
723	29.3	8715	168.5	83.2	26100	62	41.5
745	28.5	12753	161.1	74.0	55200	65	42.0
1099	28.7	182	160.4	73.8	24200	72	42.0
202	23.4	9717	165.9	64.4	21200	62	42.0
1390	19.7	10051	166.1	54.4	18200	70	40.5
1163	27.1	61	159.5	68.9	27500	79	41.0
143	22.8	516	169.6	65.6	38500	76	43.5
1685	27.8	395	163.2	74.0	34700	88	40.5
1345	16.9	91	172.3	50.2	49100	82	41.5
1273	18.0	8441	164.6	48.8	42900	72	41.0
1419	23.3	9595	164.1	62.7	29600	76	41.5
1779	28.9	6589	158.9	73.0	52500	69	40.0
1755	23.5	12206	159.6	59.9	19300	54	43.0
936	25.0	13269	173.6	75.3	51700	71	44.0
321	26.2	2945	166.7	72.8	35700	81	42.5
500	21.3	14514	167.5	59.8	37600	66	41.5
1465	16.4	1154	175.4	50.5	46500	81	43.0
1251	25.2	7682	156.4	61.6	38200	73	40.0
396	22.2	13209	169.4	63.7	39500	67	41.5
366	15.5	3522	154.7	37.1	33000	68	40.0
224	25.6	9626	162.2	67.4	39800	63	40.5
232	23.0	5739	157.6	57.1	37100	72	41.0
385	26.0	1791	170.6	75.7	53400	76	42.0
1054	25.4	5010	152.7	59.2	13700	78	39.0
127	27.0	425	163.5	72.2	46900	80	41.5
1017	20.1	11660	157.5	49.9	15000	56	41.0
336	25.2	4646	159.4	64.0	31400	63	40.5
854	22.8	11538	160.4	58.7	46800	75	42.0
900	21.4	9808	173.6	64.5	18200	69	43.0
