id	bmi	steps	height	weight	income	resting_heart_rate	shoe_size
176	24.2	11812	176.2	75.1	38400	72	42.0
76	31.8	9504	161.0	82.4	58100	69	43.0
701	31.4	13816	170.1	90.9	50600	57	43.0
1326	23.7	11721	174.8	72.4	38600	52	42.0
89	21.4	12389	183.9	72.4	70200	64	43.5
1384	26.8	12358	176.8	83.8	70400	71	43.0
1684	25.6	5253	179.0	82.0	15300	68	43.0
1346	19.7	10111	175.5	60.7	60700	63	44.0
875	20.4	9504	185.6	70.3	48700	70	43.5
44	19.2	850	181.6	63.3	47400	73	43.0
853	24.0	12237	179.1	77.0	32400	56	44.0
789	25.0	13178	170.0	72.2	29000	65	40.0
816	25.0	10415	178.8	79.9	35300	67	42.5
761	20.3	10901	197.5	79.2	46200	64	46.0
1531	22.1	12055	183.6	74.5	37600	70	44.0
860	24.9	11083	172.8	74.4	41300	63	43.0
541	24.7	12358	191.0	90.1	55000	64	44.5
102	31.9	8866	172.5	94.9	72200	79	43.0
706	23.2	668	183.0	77.7	55500	75	44.0
1583	22.5	9140	177.7	71.0	58800	62	44.0
1143	22.0	11204	179.3	70.7	38900	64	43.0
98	22.7	364	179.5	73.1	34700	78	43.0
137	24.9	7895	176.3	77.4	49300	69	44.0
488	21.4	12328	175.3	65.8	39500	70	42.0
140	23.0	6164	168.8	65.5	26200	71	42.0
892	20.5	13300	170.1	59.3	54500	71	42.0
873	25.3	8927	180.3	82.2	70400	62	43.5
891	31.8	9595	173.2	95.4	50700	72	43.0
1763	22.2	14484	171.6	65.4	60500	71	42.5
256	31.9	13482	197.8	124.8	57500	64	46.5
237	19.8	10263	195.4	75.6	34700	68	45.5
1084	24.6	12571	182.1	81.6	31400	60	42.5
1334	25.0	10962	183.1	83.8	38800	60	44.5
371	23.9	4676	172.3	71.0	48900	73	42.0
737	21.3	9231	169.7	61.3	33400	66	41.5
590	25.3	13026	175.6	78.0	74900	64	42.0
1164	16.4	547	178.0	52.0	61200	83	44.0
1029	28.1	12358	183.0	94.1	48000	68	44.0
812	20.4	9990	165.2	55.7	31800	71	43.5
689	28.9	6589	193.0	107.6	50900	68	46.0
1350	22.4	12723	179.7	72.3	31600	72	43.0
101	22.7	8168	167.1	63.4	70000	73	41.5
1040	23.7	12146	179.1	76.0	44900	66	44.0
1110	29.7	12419	171.7	87.6	50400	67	41.5
796	21.3	6771	171.2	62.4	65400	59	42.0
1005	15.5	3492	170.6	45.1	58300	74	41.5
60	18.9	2277	176.2	58.7	67600	68	44.0
413	24.0	12480	192.7	89.1	61000	58	45.0
697	29.5	13725	178.6	94.1	41500	58	44.0
634	23.5	12298	182.9	78.6	25800	54	43.5
18	20.2	10476	184.6	68.8	18400	72	44.5
668	23.5	10749	177.0	73.6	57600	65	43.0
472	19.9	12055	169.9	57.4	38700	62	43.5
1481	30.5	13421	166.8	84.9	38900	56	41.0
291	21.7	577	175.3	66.7	26200	81	44.5
1733	25.1	11447	186.0	86.8	55000	69	44.5
1522	25.2	10719	184.5	85.8	42300	61	44.5
604	25.2	4737	179.8	81.5	65000	73	44.5
14	28.2	6619	180.7	92.1	73900	82	42.5
1571	24.2	9231	177.0	75.8	26500	71	42.5
524	19.0	2338	174.6	57.9	41600	80	44.0
539	25.1	7682	172.8	74.9	53600	68	42.0
517	25.2	11690	167.7	70.9	34700	60	43.5
666	30.2	6559	190.6	109.7	37500	69	46.5
1282	16.9	4980	179.2	54.3	35900	67	43.5
805	23.5	8229	174.9	71.9	24800	61	43.5
1391	25.1	4767	190.7	91.3	60600	73	43.5
1623	23.5	9140	192.1	86.7	41600	71	44.5
1189	20.6	9413	197.2	80.1	29800	68	46.0
540	31.6	12814	176.3	98.2	38600	74	43.0
746	28.9	11417	178.7	92.3	52000	59	44.5
163	28.2	304	182.6	94.0	42400	66	44.0
1212	31.1	13209	189.6	111.8	18300	64	44.5
1294	31.8	9747	178.4	101.2	51100	62	43.5
1236	24.4	12601	171.1	71.4	39500	63	42.0
